Jun 24 11:25:57 test-miner-229 go-filecoin[21195]: Jun 24 11:25:57.574 INFO verify_seal: finish, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:88 filecoin_proofs::api
Jun 24 11:25:57 test-miner-229 go-filecoin[21195]: Jun 24 11:25:57.585 INFO verify_seal: start, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:47 filecoin_proofs::api
Jun 24 11:25:57 test-miner-229 go-filecoin[21195]: Jun 24 11:25:57.585 INFO trying parameters memory cache for: ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:77 filecoin_proofs::api::internal
Jun 24 11:25:57 test-miner-229 go-filecoin[21195]: Jun 24 11:25:57.585 INFO found params in memory cache for ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:82 filecoin_proofs::api::internal
Jun 24 11:25:57 test-miner-229 go-filecoin[21195]: Jun 24 11:25:57.585 INFO got verifying key (268435456) while verifying seal, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:710 filecoin_proofs::api::internal
Jun 24 11:25:57 test-miner-229 go-filecoin[21195]: Jun 24 11:25:57.620 INFO verify_seal: finish, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:88 filecoin_proofs::api
Jun 24 11:25:57 test-miner-229 go-filecoin[21195]: Jun 24 11:25:57.707 INFO verify_seal: start, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:47 filecoin_proofs::api
Jun 24 11:25:57 test-miner-229 go-filecoin[21195]: Jun 24 11:25:57.707 INFO trying parameters memory cache for: ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:77 filecoin_proofs::api::internal
Jun 24 11:25:57 test-miner-229 go-filecoin[21195]: Jun 24 11:25:57.708 INFO found params in memory cache for ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:82 filecoin_proofs::api::internal
Jun 24 11:25:57 test-miner-229 go-filecoin[21195]: Jun 24 11:25:57.708 INFO got verifying key (268435456) while verifying seal, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:710 filecoin_proofs::api::internal
Jun 24 11:25:57 test-miner-229 go-filecoin[21195]: Jun 24 11:25:57.793 INFO verify_seal: finish, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:88 filecoin_proofs::api
Jun 24 11:25:57 test-miner-229 go-filecoin[21195]: Jun 24 11:25:57.810 INFO verify_seal: start, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:47 filecoin_proofs::api
Jun 24 11:25:57 test-miner-229 go-filecoin[21195]: Jun 24 11:25:57.820 INFO trying parameters memory cache for: ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:77 filecoin_proofs::api::internal
Jun 24 11:25:57 test-miner-229 go-filecoin[21195]: Jun 24 11:25:57.820 INFO found params in memory cache for ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:82 filecoin_proofs::api::internal
Jun 24 11:25:57 test-miner-229 go-filecoin[21195]: Jun 24 11:25:57.820 INFO got verifying key (268435456) while verifying seal, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:710 filecoin_proofs::api::internal
Jun 24 11:25:57 test-miner-229 go-filecoin[21195]: Jun 24 11:25:57.898 INFO verify_seal: finish, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:88 filecoin_proofs::api
Jun 24 11:25:58 test-miner-229 go-filecoin[21195]: #033[0;37m11:25:58.627  INFO #033[0;34mchain.sync: #033[0mprocessing block 0 of 1 for chain with head at { zDPWYqFCzxHFekeqMpZekYhD67iiRvra24JDZDhXrKsFcwW34Kqr } #033[0;37mdefault_syncer.go:403#033[0m
Jun 24 11:26:11 test-miner-229 go-filecoin[21195]: #033[0;37m11:26:11.731  INFO #033[0;34m   autonat: #033[0mDiscovered AutoNAT peer QmXhxqTKzBKHA5FcMuiKZv8YaMPwpbKGXHRVZcFB2DX9XY #033[0;37mnotify.go:33#033[0m
Jun 24 11:26:13 test-miner-229 go-filecoin[21195]: #033[0;37m11:26:13.895  INFO #033[0;34m      node: #033[0mReceived new block from network cid: zDPWYqFCuXrBor8fWGSnYQY9Wop4YUaEcCZvKqBT9AWfZ7femiid height: 5429 #033[0;37mblock.go:56#033[0m
Jun 24 11:26:14 test-miner-229 go-filecoin[21195]: #033[0;37m11:26:14.081  INFO #033[0;34mchain.sync: #033[0mchain fetch from network complete { zDPWYqFCuXrBor8fWGSnYQY9Wop4YUaEcCZvKqBT9AWfZ7femiid } #033[0;37mdefault_syncer.go:130#033[0m
Jun 24 11:26:18 test-miner-229 go-filecoin[21195]: Jun 24 11:26:18.823 INFO verify_seal: start, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:47 filecoin_proofs::api
Jun 24 11:26:18 test-miner-229 go-filecoin[21195]: Jun 24 11:26:18.823 INFO trying parameters memory cache for: ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:77 filecoin_proofs::api::internal
Jun 24 11:26:18 test-miner-229 go-filecoin[21195]: Jun 24 11:26:18.823 INFO found params in memory cache for ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:82 filecoin_proofs::api::internal
Jun 24 11:26:18 test-miner-229 go-filecoin[21195]: Jun 24 11:26:18.824 INFO got verifying key (268435456) while verifying seal, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:710 filecoin_proofs::api::internal
Jun 24 11:26:18 test-miner-229 go-filecoin[21195]: Jun 24 11:26:18.872 INFO verify_seal: finish, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:88 filecoin_proofs::api
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.167 INFO verify_seal: start, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:47 filecoin_proofs::api
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.167 INFO trying parameters memory cache for: ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:77 filecoin_proofs::api::internal
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.167 INFO found params in memory cache for ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:82 filecoin_proofs::api::internal
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.167 INFO got verifying key (268435456) while verifying seal, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:710 filecoin_proofs::api::internal
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.203 INFO verify_seal: finish, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:88 filecoin_proofs::api
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.223 INFO verify_seal: start, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:47 filecoin_proofs::api
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.227 INFO trying parameters memory cache for: ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:77 filecoin_proofs::api::internal
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.227 INFO found params in memory cache for ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:82 filecoin_proofs::api::internal
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.227 INFO got verifying key (268435456) while verifying seal, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:710 filecoin_proofs::api::internal
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.273 INFO verify_seal: finish, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:88 filecoin_proofs::api
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.285 INFO verify_seal: start, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:47 filecoin_proofs::api
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.288 INFO trying parameters memory cache for: ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:77 filecoin_proofs::api::internal
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.288 INFO found params in memory cache for ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:82 filecoin_proofs::api::internal
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.288 INFO got verifying key (268435456) while verifying seal, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:710 filecoin_proofs::api::internal
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.369 INFO verify_seal: finish, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:88 filecoin_proofs::api
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.386 INFO verify_seal: start, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:47 filecoin_proofs::api
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.386 INFO trying parameters memory cache for: ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:77 filecoin_proofs::api::internal
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.386 INFO found params in memory cache for ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:82 filecoin_proofs::api::internal
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.386 INFO got verifying key (268435456) while verifying seal, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:710 filecoin_proofs::api::internal
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.419 INFO verify_seal: finish, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:88 filecoin_proofs::api
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.495 INFO verify_seal: start, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:47 filecoin_proofs::api
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.495 INFO trying parameters memory cache for: ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:77 filecoin_proofs::api::internal
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.495 INFO found params in memory cache for ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:82 filecoin_proofs::api::internal
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.495 INFO got verifying key (268435456) while verifying seal, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:710 filecoin_proofs::api::internal
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.566 INFO verify_seal: finish, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:88 filecoin_proofs::api
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.703 INFO verify_seal: start, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:47 filecoin_proofs::api
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.703 INFO trying parameters memory cache for: ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:77 filecoin_proofs::api::internal
